Country,Subject,Measure,Year,Value
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1970,40314.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1971,44484.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1972,49747.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1973,60272.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1974,71158.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1975,83234.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1976,96074.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1977,104919.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1978,118587.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1979,134423.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1980,152142.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1981,175614.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1982,189157.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1983,213378.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1984,234972.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1985,260240.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1986,285708.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1987,323890.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1988,367531.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1989,403855.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1990,414478.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1991,422440.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1992,443390.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1993,465757.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1994,494567.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1995,527599.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1996,555291.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1997,588097.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1998,620141.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",1999,661159.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2000,705066.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2001,754253.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2002,800960.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2003,861039.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2004,922371.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2005,996430.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2006,1086593.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2007,1177313.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2008,1260145.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2009,1301211.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2010,1416622.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2011,1499458.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2012,1536307.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2013,1598530.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2014,1624601.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2015,1660714.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2016,1763627.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2017,1849880.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2018,1947246.0
Australia,Gross Domestic Product (GDP); millions,"National currency, current prices",2019,2044255.0
Australia,GDP per head of population,"National currency, current prices",1970,3183.487874
Australia,GDP per head of population,"National currency, current prices",1971,3370.413642
