Country,Subject,Measure,Year,Unit,Value
Australia,Total capital services,Annual growth/change,1985,Percentage,5.122257
Australia,Total capital services,Annual growth/change,1986,Percentage,4.945708
Australia,Total capital services,Annual growth/change,1987,Percentage,4.964987000000001
Australia,Total capital services,Annual growth/change,1988,Percentage,5.0634120000000005
Australia,Total capital services,Annual growth/change,1989,Percentage,4.829607
Australia,Total capital services,Annual growth/change,1990,Percentage,3.322821
Australia,Total capital services,Annual growth/change,1991,Percentage,2.668921
Australia,Total capital services,Annual growth/change,1992,Percentage,3.043606
Australia,Total capital services,Annual growth/change,1993,Percentage,3.0377509999999996
Australia,Total capital services,Annual growth/change,1994,Percentage,3.623185
Australia,Total capital services,Annual growth/change,1995,Percentage,3.773967
Australia,Total capital services,Annual growth/change,1996,Percentage,4.095754
Australia,Total capital services,Annual growth/change,1997,Percentage,4.641952
Australia,Total capital services,Annual growth/change,1998,Percentage,4.341182
Australia,Total capital services,Annual growth/change,1999,Percentage,4.528716
Australia,Total capital services,Annual growth/change,2000,Percentage,4.3783389999999995
Australia,Total capital services,Annual growth/change,2001,Percentage,3.994049
Australia,Total capital services,Annual growth/change,2002,Percentage,4.686433999999999
Australia,Total capital services,Annual growth/change,2003,Percentage,4.668319
Australia,Total capital services,Annual growth/change,2004,Percentage,5.077356
Australia,Total capital services,Annual growth/change,2005,Percentage,5.735487
Australia,Total capital services,Annual growth/change,2006,Percentage,5.538012
Australia,Total capital services,Annual growth/change,2007,Percentage,6.083324
Australia,Total capital services,Annual growth/change,2008,Percentage,5.493269000000001
Australia,Total capital services,Annual growth/change,2009,Percentage,5.03165
Australia,Total capital services,Annual growth/change,2010,Percentage,4.888433999999999
Australia,Total capital services,Annual growth/change,2011,Percentage,5.709980000000001
Australia,Total capital services,Annual growth/change,2012,Percentage,5.2924169999999995
Australia,Total capital services,Annual growth/change,2013,Percentage,4.190251
Australia,Total capital services,Annual growth/change,2014,Percentage,3.359236
Australia,Total capital services,Annual growth/change,2015,Percentage,2.442177
Australia,Total capital services,Annual growth/change,2016,Percentage,2.172256
Australia,Total capital services,Annual growth/change,2017,Percentage,2.477214
Australia,Total capital services,Annual growth/change,2018,Percentage,2.341647
Australia,Multifactor productivity,Annual growth/change,1985,Percentage,-3.1866380000000003
Australia,Multifactor productivity,Annual growth/change,1986,Percentage,-0.706032
Australia,Multifactor productivity,Annual growth/change,1987,Percentage,1.638929
Australia,Multifactor productivity,Annual growth/change,1988,Percentage,-0.6216229999999999
Australia,Multifactor productivity,Annual growth/change,1989,Percentage,-0.237916
Australia,Multifactor productivity,Annual growth/change,1990,Percentage,-0.24493099999999998
Australia,Multifactor productivity,Annual growth/change,1991,Percentage,0.741488
Australia,Multifactor productivity,Annual growth/change,1992,Percentage,2.323337
Australia,Multifactor productivity,Annual growth/change,1993,Percentage,0.42299499999999995
Australia,Multifactor productivity,Annual growth/change,1994,Percentage,0.163207
Australia,Multifactor productivity,Annual growth/change,1995,Percentage,2.108562
Australia,Multifactor productivity,Annual growth/change,1996,Percentage,2.4296159999999998
Australia,Multifactor productivity,Annual growth/change,1997,Percentage,2.347136
Australia,Multifactor productivity,Annual growth/change,1998,Percentage,2.505234
Australia,Multifactor productivity,Annual growth/change,1999,Percentage,0.45122799999999996
Australia,Multifactor productivity,Annual growth/change,2000,Percentage,0.045273
Australia,Multifactor productivity,Annual growth/change,2001,Percentage,2.423825
Australia,Multifactor productivity,Annual growth/change,2002,Percentage,0.48093199999999997
Australia,Multifactor productivity,Annual growth/change,2003,Percentage,1.338854
Australia,Multifactor productivity,Annual growth/change,2004,Percentage,-0.729695
Australia,Multifactor productivity,Annual growth/change,2005,Percentage,-0.47694
Australia,Multifactor productivity,Annual growth/change,2006,Percentage,-0.024988999999999997
Australia,Multifactor productivity,Annual growth/change,2007,Percentage,0.227573
Australia,Multifactor productivity,Annual growth/change,2008,Percentage,1.490783
Australia,Multifactor productivity,Annual growth/change,2009,Percentage,-1.561975
Australia,Multifactor productivity,Annual growth/change,2010,Percentage,0.406815
Australia,Multifactor productivity,Annual growth/change,2011,Percentage,0.235781
Australia,Multifactor productivity,Annual growth/change,2012,Percentage,0.8520469999999999
Australia,Multifactor productivity,Annual growth/change,2013,Percentage,0.6841229999999999
Australia,Multifactor productivity,Annual growth/change,2014,Percentage,0.10896800000000001
Australia,Multifactor productivity,Annual growth/change,2015,Percentage,1.923079
Australia,Multifactor productivity,Annual growth/change,2016,Percentage,-0.117628
Australia,Multifactor productivity,Annual growth/change,2017,Percentage,0.8661709999999999
Australia,Multifactor productivity,Annual growth/change,2018,Percentage,-0.176507
Australia,Capital deepening,Annual growth/change,1985,Percentage,-2.879102
Australia,Capital deepening,Annual growth/change,1986,Percentage,2.48333
Australia,Capital deepening,Annual growth/change,1987,Percentage,1.492259
